,Truck,Motorcycle,Other,Pedestrian,Animal,Bike only
10km/h,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000
30km/h,0.0000,0.0000,8.0000,0.0000,0.0000,0.0000
40km/h,6.0000,0.0000,167.0000,7.0000,0.0000,5.0000
50km/h,22.0000,15.0000,1657.0000,18.0000,1.0000,35.0000
60km/h,26.0000,12.0000,982.0000,9.0000,0.0000,22.0000
70km/h,18.0000,5.0000,367.0000,9.0000,0.0000,8.0000
80km/h,7.0000,1.0000,108.0000,2.0000,0.0000,2.0000
90km/h,2.0000,0.0000,15.0000,0.0000,0.0000,1.0000
100km/h,2.0000,0.0000,6.0000,0.0000,0.0000,0.0000
110km/h,4.0000,0.0000,7.0000,0.0000,0.0000,0.0000
